year,exchange_rate,Corruption Perception Index,gdp_growth,ca_gdp,infl_diff,reserves_moi,country,log_exchange_rate,depreciation,lreserves_moi,corr_inv,corr_inv_l1,infl_diff_l1,ca_gdp_l1,reserves_moi_l1,gdp_growth_l1,AFC_97_98,GFC_08_09,COVID_20_22
2019.0,51.7929,34.0,6.118526,-0.80855786,2.39206534422404,7.720245579263838,Filipina,3.947253074234019,-0.017417408262285772,2.0438461743162035,66.0,64.0,5.30934661627707,-2.55939306,6.88316024492647,6.341486,0,0,0
2020.0,49.5987,34.0,-9.51829,3.200650092,2.3931623931624,12.285445544374314,Filipina,3.903964623709983,-0.04328845052403585,2.5084152726638345,66.0,66.0,2.39206534422404,-0.80855786,7.720245579263838,6.118526,0,0,1
2021.0,49.2746,33.0,5.714733,-1.50797766,3.92718022100332,9.661809662644306,Filipina,3.8974087352990874,-0.006555888410895605,2.2681809663567543,67.0,66.0,2.3931623931624,3.200650092,12.285445544374314,-9.51829,0,0,1
2022.0,54.4957,33.0,7.580982,-4.51605763,5.82115811213955,7.1710271113457384,Filipina,3.998121799473933,0.10071306417484571,1.970048895585766,67.0,67.0,3.92718022100332,-1.50797766,9.661809662644306,5.714733,0,0,1
2023.0,55.6256,34.0,5.51895,-2.83412114,5.97802515541409,7.615658170736556,Filipina,4.018643526945084,0.020521727471150886,2.0302064134377455,66.0,67.0,5.82115811213955,-4.51605763,7.1710271113457384,7.580982,0,0,0
2024.0,57.2834,33.0,5.692016,-3.79410701,3.21260487006347,7.326675341704643,Filipina,4.0480108784327005,0.02936735148761649,1.9915218443427851,67.0,66.0,5.97802515541409,-2.83412114,7.615658170736556,5.51895,0,0,0
1995.0,2243.6523,19.4,8.220007,-3.18158386,9.42032321644615,2.90213829092754,Indonesia,7.71586030811307,,1.0654478069887399,80.6,,,,,,0,0,0
1996.0,2327.3309,26.5,7.818187,-3.37028227,7.97328085611417,3.4949590463274096,Indonesia,7.752477353450636,0.03661704533756538,1.2513216578281097,73.5,80.6,9.42032321644615,-3.18158386,2.90213829092754,8.220007,0,0,0
1997.0,2879.7746,27.2,4.699879,-2.26605919,6.22614163387588,2.954807943376688,Indonesia,7.965467306178325,0.21298995272768906,1.0834336549647197,72.8,73.5,7.97328085611417,-3.37028227,3.4949590463274096,7.818187,1,0,0
1998.0,10193.9768,20.0,-13.1267,4.292463988,58.4510444723947,5.233226029982253,Indonesia,9.229552315048858,1.2640850088705333,1.6550279196508992,80.0,72.8,6.22614163387588,-2.26605919,2.954807943376688,4.699879,1,0,0
1999.0,7854.9861,17.0,0.791126,4.130601846,20.47783111264,6.092294500729938,Indonesia,8.968903781114635,-0.2606485339342228,1.807024776072272,83.0,80.0,58.4510444723947,4.292463988,5.233226029982253,-13.1267,0,0,0
2000.0,8404.0456,17.0,4.920068,4.843064528,3.68861915958352,5.2648360724134635,Indonesia,9.036468487937796,0.06756470682316085,1.6610500097571523,83.0,83.0,20.47783111264,4.130601846,6.092294500729938,0.791126,0,0,0
2001.0,10256.0765,19.0,3.643466,4.301048531,11.5001148791768,5.66905378340598,Indonesia,9.235625638180995,0.1991571502431988,1.735022222579925,81.0,83.0,3.68861915958352,4.843064528,5.2648360724134635,4.920068,0,0,0
2002.0,9319.0315,19.0,4.499475,3.998526908,11.9001175663778,6.295267965763302,Indonesia,9.13981398597095,-0.0958116522100454,1.8397982346226134,81.0,81.0,11.5001148791768,4.301048531,5.66905378340598,3.643466,0,0,0
2003.0,8573.788,19.0,4.780369,3.453042877,6.75731719362853,6.774904410930205,Indonesia,9.056464920936673,-0.08334906503427675,1.9132252575784379,81.0,81.0,11.9001175663778,3.998526908,6.295267965763302,4.499475,0,0,0
2004.0,8933.4329,20.0,5.030874,0.60856133,6.06405988526521,5.420563210953005,Indonesia,9.097556023291116,0.04109110235444291,1.6901997235128892,80.0,81.0,6.75731719362853,3.453042877,6.774904410930205,4.780369,0,0,0
2005.0,9707.8955,22.0,5.692571,0.097088246,10.4531984193865,4.104784855177618,Indonesia,9.180694802470468,0.08313877917935208,1.4121533310991552,78.0,80.0,6.06405988526521,0.60856133,5.420563210953005,5.030874,0,0,0
2006.0,9164.8015,24.0,5.500952,2.97870868,13.1086720985296,4.915475346870687,Indonesia,9.123125501555897,-0.057569300914570576,1.5923884624263807,76.0,78.0,10.4531984193865,0.097088246,4.104784855177618,5.692571,0,0,0
2007.0,9140.6539,23.0,6.345022,2.427264127,6.40656281325701,5.677125297322214,Indonesia,9.120487204558724,-0.0026382969971727732,1.7364449949899832,77.0,76.0,13.1086720985296,2.97870868,4.915475346870687,5.500952,0,0,0
2008.0,9693.5605,26.0,6.013704,0.024693325,10.2266645473148,4.000962645316849,Indonesia,9.1792170780555,0.05872987349677494,1.3865349934948106,74.0,77.0,6.40656281325701,2.427264127,5.677125297322214,6.345022,0,1,0
2009.0,10405.6621,28.0,4.628871,1.969770562,4.38641555014731,6.54684575689915,Indonesia,9.250105369672063,0.07088829161656385,1.8789833698258684,72.0,74.0,10.2266645473148,0.024693325,4.000962645316849,6.013704,0,1,0
2010.0,9086.011,28.0,6.223854,0.681277287,5.13420400767928,6.869914329910736,Indonesia,9.11449125697237,-0.13561411269969348,1.927151635983395,72.0,72.0,4.38641555014731,1.969770562,6.54684575689915,4.628871,0,0,0
2011.0,8774.3939,30.0,6.169784,0.188703954,5.3560477898215,6.059690449406233,Indonesia,9.079592974723468,-0.03489828224890168,1.8016587178204795,70.0,72.0,5.13420400767928,0.681277287,6.869914329910736,6.223854,0,0,0
2012.0,9387.3818,32.0,6.030051,-2.66027359,4.27949999641975,5.5893794273816315,Indonesia,9.147121704781403,0.06752873005793525,1.7208682662247388,68.0,70.0,5.3560477898215,0.188703954,6.059690449406233,6.169784,0,0,0
2013.0,10448.9295,32.0,5.557264,-3.18996483,6.41251330156418,4.950318467695981,Indonesia,9.254254811954215,0.1071331071728121,1.5994519114193477,68.0,68.0,4.27949999641975,-2.66027359,5.5893794273816315,6.030051,0,0,0
2014.0,11866.0349,34.0,5.006668,-3.08816908,6.39492540819922,5.7443233994726075,Indonesia,9.381435387990734,0.127180576036519,1.7482121322976132,66.0,68.0,6.41251330156418,-3.18996483,4.950318467695981,5.557264,0,0,0
2015.0,13388.0279,36.0,4.876322,-2.03504193,6.36312113115612,6.446161057664035,Indonesia,9.502116146284827,0.12068075829409253,1.8634847687565725,64.0,66.0,6.39492540819922,-3.08816908,5.7443233994726075,5.006668,0,0,0
2016.0,13307.0962,37.0,5.033069,-1.81915089,3.5258051568793,7.225888056095306,Indonesia,9.496052720795435,-0.006063425489392316,1.9776701407835982,63.0,64.0,6.36312113115612,-2.03504193,6.446161057664035,4.876322,0,0,0
2017.0,13380.3276,37.0,5.069786,-1.5946569,3.80879806953157,7.087162420111007,Indonesia,9.501540817687417,0.005488096891982153,1.958285037600076,63.0,63.0,3.5258051568793,-1.81915089,7.225888056095306,5.033069,0,0,0
2018.0,14234.3713,38.0,5.174292,-2.93907291,3.1983464156241,5.5956075884840235,Indonesia,9.56341483294825,0.061874015260833914,1.7219819307711997,62.0,63.0,3.80879806953157,-1.5946569,7.087162420111007,5.069786,0,0,0
2019.0,14144.5033,40.0,5.019288,-2.70566198,3.03058664969487,6.317774344195018,Indonesia,9.557081368237542,-0.006333464710708725,1.8433669854069785,60.0,62.0,3.1983464156241,-2.93907291,5.5956075884840235,5.174292,0,0,0
