,Mean,Std Dev,Min,Max,N
depreciation,0.025168892981378036,0.12964376856784976,-0.2606485339342228,1.264085008870533,145.0
corr_inv,53.724666666666664,23.030866177111296,6.0,83.0,150.0
infl_diff,3.8524439203680987,5.450042497545242,-1.61068030486688,58.4510444723947,150.0
ca_gdp,5.627460597613333,8.177498270986112,-9.74414012,27.14333253,150.0
reserves_moi,6.037854574108481,1.903057448567667,1.961714521612959,12.285445544374314,150.0
gdp_growth,4.351829106666666,3.713059798490595,-13.1267,14.51975,150.0
