,depreciation,corr_inv,infl_diff,ca_gdp,reserves_moi,gdp_growth
depreciation,1.0,0.13555722987730967,0.6675327988296306,-0.1328873426734927,-0.17050373174046687,-0.48464272268948644
corr_inv,0.13555722987730967,1.0,0.3301890301830516,-0.802516662774765,0.19258965716725243,-0.09775282992817605
infl_diff,0.6675327988296306,0.3301890301830516,1.0,-0.20373774692551583,-0.1677380962108943,-0.27314519194281156
ca_gdp,-0.1328873426734927,-0.802516662774765,-0.20373774692551583,1.0,-0.03571788116762189,-0.03520196521862918
reserves_moi,-0.17050373174046687,0.19258965716725243,-0.1677380962108943,-0.03571788116762189,1.0,-0.2025132059857382
gdp_growth,-0.48464272268948644,-0.09775282992817605,-0.27314519194281156,-0.03520196521862918,-0.2025132059857382,1.0
