Variable,Coefficient,Std_Error,P_value,Model,R_squared,N_obs
const,-5.55653613398821e-19,4.675700453830766e-18,0.9054032409695105,Model_Robust_Post2008,0.09646395896897664,85.0
corr_inv_l1,0.0009939749147347954,0.0008051629627882259,0.21701607451471072,Model_Robust_Post2008,0.09646395896897664,85.0
infl_diff_l1,-0.001003390860712039,0.0014480816825906727,0.4883657814240554,Model_Robust_Post2008,0.09646395896897664,85.0
ca_gdp_l1,-0.0028770213827148997,0.0007829997712517103,0.0002384483180790261,Model_Robust_Post2008,0.09646395896897664,85.0
reserves_moi_l1,0.0005307463036751139,0.005985694113219539,0.929344864677232,Model_Robust_Post2008,0.09646395896897664,85.0
gdp_growth_l1,-0.0005806259613447428,0.0014883700903507585,0.6964562491829132,Model_Robust_Post2008,0.09646395896897664,85.0
