Variable,Coefficient,Std_Error,P_value,Model,R_squared,N_obs
const,-3.74049749507499e-18,7.937948201334295e-17,0.9624162188176407,Model_Robust_Pre2008,0.38018886784032413,60.0
corr_inv_l1,-0.022766861033788773,0.012210958693484557,0.06225693858551421,Model_Robust_Pre2008,0.38018886784032413,60.0
infl_diff_l1,-0.009312874468601979,0.001942718450847693,1.6370573579719775e-06,Model_Robust_Pre2008,0.38018886784032413,60.0
ca_gdp_l1,0.0018616351725503281,0.003037448539985014,0.5399461723843586,Model_Robust_Pre2008,0.38018886784032413,60.0
reserves_moi_l1,0.016758431921175314,0.01646770267525477,0.3088421719567648,Model_Robust_Pre2008,0.38018886784032413,60.0
gdp_growth_l1,-0.008851751509450799,0.009349544037643603,0.3437623317976075,Model_Robust_Pre2008,0.38018886784032413,60.0
