Variable,Coefficient,Std_Error,P_value,Model,R_squared,N_obs
const,3.4931638744767346e-18,7.211494942263372e-18,0.6281103105464025,Model_2_FE_Country,0.17619392986618843,145.0
corr_inv_l1,0.0010446958134403145,0.0015451839701281515,0.49897841751762195,Model_2_FE_Country,0.17619392986618843,145.0
infl_diff_l1,-0.006309194947017741,0.001802423384568806,0.00046456810905103996,Model_2_FE_Country,0.17619392986618843,145.0
ca_gdp_l1,-0.006572624228167955,0.0016566610644010724,7.266335338185342e-05,Model_2_FE_Country,0.17619392986618843,145.0
reserves_moi_l1,-0.01700655732794204,0.012464098620466425,0.17242805071122924,Model_2_FE_Country,0.17619392986618843,145.0
gdp_growth_l1,-0.0010331601545115379,0.002753647301997854,0.7075139752725244,Model_2_FE_Country,0.17619392986618843,145.0
