Variable,Coefficient,Std_Error,P_value,Model,R_squared,N_obs
const,-2.981555974335137e-19,3.206700216288158e-18,0.9259202895964337,Model_3_FE_TwoWay,0.10128456522240237,145.0
corr_inv_l1,0.0007291769559033854,0.0014781563504427347,0.6217994678234913,Model_3_FE_TwoWay,0.10128456522240237,145.0
infl_diff_l1,-0.0067842391371596995,0.0009503293580056621,9.412908729450635e-13,Model_3_FE_TwoWay,0.10128456522240237,145.0
ca_gdp_l1,-0.0004981164292742678,0.00203059726639507,0.8062199881829691,Model_3_FE_TwoWay,0.10128456522240237,145.0
reserves_moi_l1,-0.005200487442557554,0.007279819376022804,0.47499817346240103,Model_3_FE_TwoWay,0.10128456522240237,145.0
gdp_growth_l1,-0.00451199960091094,0.0038410705031765224,0.24012579568153847,Model_3_FE_TwoWay,0.10128456522240237,145.0
