Variable,Coefficient,Std_Error,P_value,Model,R_squared,N_obs
const,0.21118246465369414,0.053495590353648176,7.891838977017781e-05,Model_1_POLS_Controls,0.17714988253563901,145.0
corr_inv_l1,-0.00046444467898176746,0.0008826426590106877,0.598750740216266,Model_1_POLS_Controls,0.17714988253563901,145.0
infl_diff_l1,-0.004346486726903894,0.0018477859426368917,0.018659353225343817,Model_1_POLS_Controls,0.17714988253563901,145.0
ca_gdp_l1,-0.00616115182723855,0.0013306492959989172,3.653399468879813e-06,Model_1_POLS_Controls,0.17714988253563901,145.0
reserves_moi_l1,-0.017936354169839047,0.01303261446671705,0.16873905797844613,Model_1_POLS_Controls,0.17714988253563901,145.0
gdp_growth_l1,-0.00011034818607676181,0.0019073464359292162,0.9538646882806068,Model_1_POLS_Controls,0.17714988253563901,145.0
