Variable,Coefficient,Std_Error,P_value,Model,R_squared,N_obs
const,-2.981555974335137e-19,1.519926669253003e-17,0.9843493441831035,Model_5_Interaction_Tier,0.11788109141957615,145.0
corr_inv_l1,-0.004478143891848061,0.003919085957659323,0.2531839029273806,Model_5_Interaction_Tier,0.11788109141957615,145.0
infl_diff_l1,-0.007261690122924365,0.0012492929253966473,6.149518836955712e-09,Model_5_Interaction_Tier,0.11788109141957615,145.0
ca_gdp_l1,-0.0003125810933386546,0.0023364358003461084,0.8935722402874958,Model_5_Interaction_Tier,0.11788109141957615,145.0
reserves_moi_l1,-0.0072103757024832345,0.008716981042397817,0.40814393149670714,Model_5_Interaction_Tier,0.11788109141957615,145.0
gdp_growth_l1,-0.004603617531743513,0.004529056137493341,0.3094090062711983,Model_5_Interaction_Tier,0.11788109141957615,145.0
corr_tier2,0.004922799692590131,0.007573500725922592,0.5156901558242298,Model_5_Interaction_Tier,0.11788109141957615,145.0
corr_tier3,0.0077440964725276114,0.005170424528158263,0.13419353412534818,Model_5_Interaction_Tier,0.11788109141957615,145.0
