Variable,Coefficient,Std_Error,P_value,Model,R_squared,N_obs
const,-5.5294310796760726e-18,3.0917303991732403e-18,0.07370208792909094,Model_Robust_Differencing,0.09737000882717683,140.0
corr_inv_l1,0.0009012923040016464,0.0012594378094171665,0.4742194400023392,Model_Robust_Differencing,0.09737000882717683,140.0
infl_diff_l1,-0.006805006937127126,0.0011451915290861146,2.8114734455719503e-09,Model_Robust_Differencing,0.09737000882717683,140.0
d_ca_gdp_l1,-0.0005902523954059036,0.0020356016684567086,0.771843330351478,Model_Robust_Differencing,0.09737000882717683,140.0
d_reserves_moi_l1,-0.004710235899016541,0.0066491637369234784,0.4786998515172536,Model_Robust_Differencing,0.09737000882717683,140.0
gdp_growth_l1,-0.004823820698535342,0.003479957726549795,0.16569432453192456,Model_Robust_Differencing,0.09737000882717683,140.0
