Variable,VIF
corr_inv_l1,3.4300484860438916
infl_diff_l1,1.3566886053898515
ca_gdp_l1,3.0191038156077883
reserves_moi_l1,1.2408161796279824
gdp_growth_l1,1.1809509950231947
