Variable,Coefficient,Std_Error,P_value,Model,R_squared,N_obs
const,-1.145188544687814e-18,0.0014795620008569673,0.9999999999999993,Model_Robust_TrimOutlier,0.15522145075863714,141.0
corr_inv_l1,0.0006209550542239642,0.0011317504720644684,0.5832334401264924,Model_Robust_TrimOutlier,0.15522145075863714,141.0
infl_diff_l1,-0.004131739428041388,0.001465004967047245,0.0047980208432979185,Model_Robust_TrimOutlier,0.15522145075863714,141.0
ca_gdp_l1,-0.0024000990738231283,0.0009197041286101612,0.009063686117437155,Model_Robust_TrimOutlier,0.15522145075863714,141.0
reserves_moi_l1,-0.0032268570063864097,0.002958989758465731,0.2754812476391526,Model_Robust_TrimOutlier,0.15522145075863714,141.0
gdp_growth_l1,-0.003939273462235568,0.0006827617966864587,7.945231872364632e-09,Model_Robust_TrimOutlier,0.15522145075863714,141.0
