country,variable,pp_stat_const,pp_pvalue_const,pp_stat_trend,pp_pvalue_trend,pp_stat_none,pp_pvalue_none,lags,nobs
Indonesia,depreciation,-18.895023507069517,0.0,-18.943134371089755,0.0,-18.86880407140741,3.508717861734051e-29,9,28
Malaysia,depreciation,-11.790647483651558,9.845166387347494e-22,-12.296754462950524,1.315115429158085e-19,-11.869588190247615,1.277420532451041e-21,9,28
Filipina,depreciation,-12.299866715310731,7.492572539830495e-23,-13.476734972415915,3.6741509329137915e-21,-12.274216080788584,2.1671952048314065e-22,9,28
Singapura,depreciation,-9.956298547255477,2.439148597498663e-17,-10.393866257758,3.494133061138399e-16,-9.959130397577786,1.2278155310044175e-17,9,28
Thailand,depreciation,-10.19967413738144,6.016380350324685e-18,-12.392220704853694,9.446664067819773e-20,-10.048637285382174,7.806202747771697e-18,9,28
