country,variable,pp_stat_const,pp_pvalue_const,pp_stat_trend,pp_pvalue_trend,pp_stat_none,pp_pvalue_none,lags,nobs
Indonesia,depreciation,-5.660152476071168,9.420448075021023e-07,-6.056094812477121,1.6733142121123907e-06,-5.3149015851545265,2.498443058233295e-07,9,29
Malaysia,depreciation,-4.117373086659503,0.0009064283327027052,-4.141037041099203,0.00548618087819133,-3.9786856801305452,7.96811249553662e-05,9,29
Filipina,depreciation,-4.236566686375746,0.0005710300488641077,-4.513764016421202,0.001433132874682289,-3.9546051115681786,8.757189644935075e-05,9,29
Singapura,depreciation,-3.5110031211477124,0.007708966522495109,-3.6532048671914894,0.0256297402352494,-3.5958011638126357,0.000341496857558069,9,29
Thailand,depreciation,-3.899581829610936,0.0020379267663848876,-4.087415058224626,0.006579994643112008,-3.8699074173210843,0.00012170038645872294,9,29
