country,variable,pp_stat_const,pp_pvalue_const,pp_stat_trend,pp_pvalue_trend,lags,nobs
Indonesia,gdp_growth,-9.712956705388155,1.0002080784541829e-16,-9.019140603553716,3.285337860922284e-13,9,29
Malaysia,gdp_growth,-13.526268249915208,2.6748162833812003e-25,-13.127066627221033,9.412090936057737e-21,9,29
Filipina,gdp_growth,-16.133056258699547,4.762809581469561e-29,-15.224736422880701,1.7323727436463374e-22,9,29
Singapura,gdp_growth,-16.748382184666823,1.3402772479088072e-29,-15.95935013356991,1.137820207516739e-22,9,29
Thailand,gdp_growth,-11.301497214873834,1.3041070175865648e-20,-10.405331992288236,3.310901791171665e-16,9,29
