country,variable,pp_stat_const,pp_pvalue_const,pp_stat_trend,pp_pvalue_trend,lags,nobs
Indonesia,reserves_moi,-7.610034218656983,2.2679571061750998e-11,-8.197110613856474,2.503027792320414e-11,9,29
Malaysia,reserves_moi,-6.87677438484914,1.4677484876740849e-09,-9.663171856311553,1.2209417306229347e-14,9,29
Filipina,reserves_moi,-5.24364848084787,7.156380947868838e-06,-5.910285101164448,3.3840688132723607e-06,9,29
Singapura,reserves_moi,-9.979515192954274,2.1331209210535065e-17,-10.06426136639407,1.6876609322620454e-15,9,29
Thailand,reserves_moi,-8.010337662832246,2.2101277072600268e-12,-7.922113831609422,1.0816336348603506e-10,9,29
