country,variable,specification,adf_statistic,pvalue,lags_used,nobs,critical_1pct,critical_5pct,critical_10pct
Indonesia,gdp_growth,Constant,-5.500558339772393,2.0759253960288365e-06,1,27,-3.6996079738860943,-2.9764303469999494,-2.627601001371742
Malaysia,gdp_growth,Constant,-7.056521690565366,5.357660499059048e-10,2,26,-3.7112123008648155,-2.981246804733728,-2.6300945562130176
Filipina,gdp_growth,Constant,-6.232958340079404,4.902594455010352e-08,1,27,-3.6996079738860943,-2.9764303469999494,-2.627601001371742
Singapura,gdp_growth,Constant,-5.633803888147605,1.0744615449679447e-06,2,26,-3.7112123008648155,-2.981246804733728,-2.6300945562130176
Thailand,gdp_growth,Constant,-3.616401819987699,0.005455092132288752,3,25,-3.7238633119999998,-2.98648896,-2.6328004
