country,variable,pp_stat_const,pp_pvalue_const,pp_stat_trend,pp_pvalue_trend,lags,nobs
Indonesia,corr_inv,-0.8621482634394823,0.8001819188252127,-1.7546688639030825,0.7261952378116008,9,30
Malaysia,corr_inv,-3.04114289105531,0.031226745761169898,-2.906182757067318,0.1602243422043706,9,30
Filipina,corr_inv,-1.6444564680069766,0.45993311992615205,-1.736427611892487,0.7345758610516733,9,30
Singapura,corr_inv,-1.1536088562285132,0.6932271335059731,-1.6446667061467652,0.7744567009555976,9,30
Thailand,corr_inv,-3.492315693432904,0.008186650414269634,-3.650016951070877,0.025867039348323014,9,30
