country,variable,pp_stat_const,pp_pvalue_const,pp_stat_trend,pp_pvalue_trend,pp_stat_none,pp_pvalue_none,lags,nobs
Indonesia,infl_diff,-4.210825490639124,0.0006316431370159444,-5.661999475606854,1.0934222128216088e-05,-3.196126128675202,0.0013957502885826563,9,30
Malaysia,infl_diff,-4.864370603512535,4.089290373831653e-05,-5.760899130669166,6.882069338377243e-06,-2.008228859820326,0.0426862491223934,9,30
Filipina,infl_diff,-3.5405865044744322,0.007003914797146626,-3.898454035091029,0.012192339596326856,-1.3935980804962496,0.15209613954470452,9,30
Singapura,infl_diff,-3.0940029920425434,0.027000188899814183,-3.1448503467998514,0.09596142759378973,-2.428687543232258,0.014623134024214463,9,30
Thailand,infl_diff,-4.614918660459621,0.00012123361812246384,-5.450839416498184,2.8801526200837444e-05,-3.279584437637921,0.0010505620929544233,9,30
