country,variable,pp_stat_const,pp_pvalue_const,pp_stat_trend,pp_pvalue_trend,pp_stat_none,pp_pvalue_none,lags,nobs
Indonesia,corr_inv,-5.0649146452741,1.6484404967243482e-05,-4.979353674092355,0.00022431824328324578,-5.080332902485029,7.348158657480792e-07,9,29
Malaysia,corr_inv,-7.9787160744631365,2.658890438720544e-12,-8.769871364070315,1.2090241152928148e-12,-8.021998087792785,2.922883810893569e-13,9,29
Filipina,corr_inv,-5.161705978208647,1.0520786356070443e-05,-5.030545836183215,0.0001809431472882919,-5.219295091054971,3.889763286665483e-07,9,29
Singapura,corr_inv,-5.194650966455717,9.015874001042384e-06,-5.373711931662458,4.0731673350766875e-05,-5.289236607294519,2.8148135075712107e-07,9,29
Thailand,corr_inv,-11.131255351778117,3.277883159260022e-20,-14.689939263627345,3.2617084800950063e-22,-10.717822845143385,2.811278894524417e-19,9,29
